Candidate,Coverage End Date,District,Elected?,Elected?1,Incumbent/ Challenger/Open,Party,Party Group,Representative,State,State Match,State Not Selected,Win?,Cash On Hand,Contributions  from Individuals,Contributions and Loans from   the Candidate,Contributions from PACs and Other Committees,Debts,Disbursements,Receipts,Replace Null With 0,sum receipts,Gender
"WARNER-STANTON, KATHY L",11/28/2022,5,FALSE,No,Open,Democratic Party,Democratic Party,,Alabama,FALSE,TRUE,,195.03,5150,80000,0,80000,84706.25,85150,0,85150,Female
"WRIGHT, HARRISON GAGE WOODARD",7/21/2022,5,FALSE,No,Open,Republican Party,Republican Party,,Alabama,FALSE,TRUE,,0,10,0,25,0,0,811,0,35,Male
"BROOKS, MO*",12/31/2022,5,FALSE,No,Incumbent,Republican Party,Republican Party,,Alabama,FALSE,TRUE,,1968.66,3392131.66,0,93500,0,4750635.47,3615102.95,0,3485631.66,Male
"BLALOCK, KEVIN ANDREW",5/24/2022,5,FALSE,No,Challenger,Republican Party,Republican Party,,Alabama,FALSE,TRUE,,2239.22,40757.82,10237.14,500,0,49212.24,51494.96,0,51494.96,Male
"STRONG, DALE WHITNEY",12/31/2022,5,TRUE,Yes,Challenger,Republican Party,Republican Party,"STRONG, DALE WHITNEY",Alabama,FALSE,TRUE,1,19045.32,1393769.91,240000,360000,240000,1975308.27,1994353.59,1,1993769.91,Male
"PALMER, GARY",12/31/2022,6,TRUE,Yes,Incumbent,Republican Party,Republican Party,"PALMER, GARY",Alabama,FALSE,TRUE,1,446065.86,686961.84,0,410795,0,1203524.76,1278902.76,1,1097756.84,Male
"SEWELL, TERRI A.",12/31/2022,7,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"SEWELL, TERRI A.",Alabama,FALSE,TRUE,1,2895932.07,666127.08,0,1679747.82,0,1706609.01,2359060.83,1,2345874.9,Female
"NICHOLS, BEATRICE JACKSON",12/31/2022,7,FALSE,No,Challenger,Republican Party,Republican Party,,Alabama,FALSE,TRUE,,75.13,46285.71,0,0,0,47821.88,47728.98,0,46285.71,Female
"BYE, CHRIS",12/8/2022,0,FALSE,No,Open,Libertarian Party,Third Party,,Alaska,FALSE,TRUE,,4217.51,4198.61,3721.03,99.27,0,3940.25,8018.91,0,8018.91,Male
"COGHILL, JOHN B JR.",8/13/2022,0,FALSE,No,Open,Republican Party,Republican Party,,Alaska,FALSE,TRUE,,0,26425,0,0,0,26425,26425,0,26425,Male
"GROSS, ALAN",12/31/2022,0,FALSE,No,Open,Independent,Third Party,,Alaska,FALSE,TRUE,,-5491.27,691155.94,0,16000,0,888083.17,882591.9,0,707155.94,Male
"LOWENFELS, JEFF",8/25/2022,0,FALSE,No,Open,Non-Party,Third Party,,Alaska,FALSE,TRUE,,0,53393.08,100025,0,100000,153418.08,153418.08,0,153418.08,Male
"METTLER, SHERRY",9/12/2022,0,FALSE,No,Open,None,Third Party,,Alaska,FALSE,TRUE,,0,1550,6800,0,5000,8350,8350,0,8350,Female
"PALIN, SARAH",12/31/2022,0,FALSE,No,Open,Republican Party,Republican Party,,Alaska,FALSE,TRUE,,46379.58,1770697.9,0,81305,2525.05,1924781.35,1971160.93,0,1852002.9,Female
"REVAK, JOSHUA CARL",9/16/2022,0,FALSE,No,Open,Republican Party,Republican Party,,Alaska,FALSE,TRUE,,0,116666,0,5000,0,121841,121841,0,121666,Male
"SWEENEY, TARA M",11/8/2022,0,FALSE,No,Open,Republican Party,Republican Party,,Alaska,FALSE,TRUE,,0,308314.72,0,21300,0,332195.05,332195.05,0,329614.72,Female
"WOOL, ADAM L",7/15/2022,0,FALSE,No,Open,Democratic Party,Democratic Party,,Alaska,FALSE,TRUE,,0,15117,1100,0,0,16217.07,16217.07,0,16217,Male
"PELTOLA, MARY",12/31/2022,0,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"PELTOLA, MARY",Alaska,FALSE,TRUE,1,691260.3,7149826.02,25,384020.59,0,7060033.09,7751293.39,1,7533871.61,Female
"YOUNG, DONALD E*",12/31/2022,0,FALSE,No,Incumbent,Republican Party,Republican Party,,Alaska,FALSE,TRUE,,0,203591.43,0,278500,0,916475.36,667302.17,0,482091.43,Male
"BEGICH, NICHOLAS III",12/31/2022,0,FALSE,No,Challenger,Republican Party,Republican Party,,Alaska,FALSE,TRUE,,41233.99,929235.35,673971.16,36853.74,450000,1598826.28,1640060.27,0,1640060.25,Male
"BRELSFORD, GREGG BOWYER MR.",11/28/2022,0,FALSE,No,Challenger,Independent,Third Party,,Alaska,FALSE,TRUE,,450.28,13610,27341.93,0,12000,43376.41,43826.69,0,40951.93,Male
"CONSTANT, CHRISTOPHER",12/31/2022,0,FALSE,No,Challenger,Democratic Party,Democratic Party,,Alaska,FALSE,TRUE,,0,158023.05,614.85,1000,143180.09,164637.9,164637.9,0,159637.9,Male
"PURHAM, RANDY",7/27/2022,0,FALSE,No,Challenger,Republican Party,Republican Party,,Alaska,FALSE,TRUE,,0,1548.51,0,0,0,5621.6,1548.51,0,1548.51,Male
"AMATA, AUMUA",12/31/2022,0,TRUE,Yes,Incumbent,Republican Party,Republican Party,"AMATA, AUMUA",American Samoa,FALSE,TRUE,1,293.9,22000,0,29900,0,57524.13,57300,1,51900,Male
"BARNETT, JOSH",7/20/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,1924.45,60275.85,0,0,0,62912.51,60275.85,0,60275.85,Male
"HODGE, JEVIN D",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,14825.71,2145593.64,0,369257.93,0,2550588.79,2565414.5,0,2514851.57,Male
"METZENDORF, ADAM",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,0,226920.39,77899.97,0,0,308020.36,308020.36,0,304820.36,Male
"MOORE FOR AZ, JOHN W",9/30/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,47929.19,133609,0,140.9,181611.56,181611.56,0,181538.19,Male
"NORTON, ELIJAH",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,10502.7,600866.95,4809097.32,0,4700000,5400811.57,5411314.27,0,5409964.27,Male
"TORRES, GINGER SYKES",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,-4622.09,117921.97,0,6000,0,129544.06,124921.97,0,123921.97,Female
"WILLIAMSON, W (WALTER) JOHN",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,860.27,1050,100,0,0,289.73,1150,0,1150,Male
"YATES, ANDY",12/15/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,14494,100212,0,0,114706,114706,0,114706,Male
"DELUZIO, MARK",12/31/2022,2,FALSE,No,Open,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,5308.32,129952,1188492.35,0,1125000,1331651.61,1336959.93,0,1318444.35,Male
"FREE, LUCRETIA",9/27/2022,2,FALSE,No,Open,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,11765,3900,1000,14061.09,16697.49,16697.49,0,16665,Female
"KRYSTOFIAK, STEVEN",12/31/2022,2,FALSE,No,Open,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,13189.08,178680,333200,0,333200,516674,529863.08,0,511880,Male
"LIZER, MYRON",4/14/2022,2,FALSE,No,Open,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,0,735.52,0,0,735.52,735.52,0,735.52,Male
"LOWELL, DOUGLAS",2/2/2022,2,FALSE,No,Open,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,28389.76,250000,0,0,278696.15,278696.15,0,278389.76,Male
"MARTIN, BRANDON MR.",12/31/2022,2,FALSE,No,Open,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,5617.8,158476.51,0,1000,0,155658.71,161276.51,0,159476.51,Male
"O'HALLERAN, TOM",12/31/2022,2,FALSE,No,Incumbent,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,41479.84,2716784.32,0,1467832.77,0,4322531.6,4300864.23,0,4184617.09,Male
"BLACKMAN, WALTER JACK",9/30/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,12343.54,1097085.63,0,10750,0,1151626.08,1163969.62,0,1107835.63,Male
"CRANE, ELI",12/31/2022,2,TRUE,Yes,Challenger,Republican Party,Republican Party,"CRANE, ELI",Arizona,FALSE,TRUE,1,66255.71,3071496.5,100000,259900,0,3713509.96,3779765.67,1,3431396.5,Male
"FRIESE, RANDALL S.",3/9/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,0,693011.72,0,12000,0,705957.71,705957.71,0,705011.72,Male
"WATKINS, RONALD",9/30/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,167136.41,95000,0,0,262318.38,262318.38,0,262136.41,Male
"GALLEGO, RUBEN",12/31/2022,3,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"GALLEGO, RUBEN",Arizona,FALSE,TRUE,1,1276574.99,2039449.38,0,856325,0,2273861.31,2933465.25,1,2895774.38,Male
"POZZOLO, LUIS B",12/31/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,89482.32,175000,1500,0,268102.04,268102.04,0,265982.32,Male
"ZINK, JEFFREY NELSON MR",12/31/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,19103.29,33281.24,40000,500,40000,54677.95,73781.24,0,73781.24,Male
"STANTON, GREG",12/31/2022,4,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"STANTON, GREG",Arizona,FALSE,TRUE,1,33341.89,3017115.48,0,1250680.76,0,5324884.85,4314550.89,1,4267796.24,Male
"COOPER, KELLY",12/31/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,58744.19,642308.98,1355089.68,138400,591756.68,2283332.74,2342076.93,0,2135798.66,Male
"DAVISON, JERONE",12/31/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0.28,148677.33,0,0,0,150262.88,150263.16,0,148677.33,Male
"STAHL, JUDITH",2/17/2022,4,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,-835.36,260844.23,0,0,0,261679.59,260844.23,0,260844.23,Female
"WHEELESS, TANYA CONTRERAS",11/28/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,100,1055376.33,55000,55675.13,0,1285879.4,1285979.4,0,1166051.46,Female
"BIGGS, ANDY MR.",12/31/2022,5,TRUE,Yes,Incumbent,Republican Party,Republican Party,"BIGGS, ANDY MR.",Arizona,FALSE,TRUE,1,235471.85,1987265.2,0,93550,0,2531589.72,2116014.71,1,2080815.2,Male
"GREENE, JOAN",6/30/2021,5,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,0,20769.36,0,0,126268.19,25005.84,20769.36,0,20769.36,Female
"RAMOS, JAVIER GARCIA MR.",12/8/2022,5,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,1016.37,6701.65,9300,0,0,15626.17,16642.54,0,16001.65,Male
"SMITH, CLINT",12/31/2022,5,FALSE,No,Challenger,Independent,Third Party,,Arizona,FALSE,TRUE,,0,182732.53,2000,12750,0,197482.53,197482.53,0,197482.53,Male
"CISCOMANI, JUAN",12/31/2022,6,TRUE,Yes,Open,Republican Party,Republican Party,"CISCOMANI, JUAN",Arizona,FALSE,TRUE,1,54435.6,2461613.49,0,518850,0,3344411.15,3398846.75,1,2980463.49,Male
"HERNANDEZ, DANIEL",12/31/2022,6,FALSE,No,Open,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,1484.35,1018652.26,11120,150450,0,1194731.97,1196216.32,0,1180222.26,Male
"WINN, KATHLEEN",12/31/2022,6,FALSE,No,Open,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,16538.61,147963.76,214550,0,200332.01,346725.4,363264.01,0,362513.76,Female
"SCHWEIKERT, DAVID S.",12/31/2022,1,TRUE,Yes,Incumbent,Republican Party,Republican Party,"SCHWEIKERT, DAVID S.",Arizona,FALSE,TRUE,1,52991.95,1049046.51,259630,490943.5,205171.06,2024999.46,2018409.26,1,1799620.01,Male
"DISANTO, DELINA",12/31/2022,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,-8828.97,166929.94,10600,250,0,183046.71,177850.56,0,177779.94,Female
"ENGEL, KIRSTEN",12/31/2022,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,1305.37,2237623.6,7300,217517.11,518.05,2472572.43,2473877.8,0,2462440.71,Female
"KONCZAL, KEVIN",10/15/2021,6,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,9579.69,2600,0,0,12179.69,12179.69,0,12179.69,Male
"MAYBERRY, YOUNG",7/13/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,-3747.74,32099.34,0,0,0,25323.57,32099.34,0,32099.34,Male
"TIPIRNENI, HIRAL VYAS",3/31/2022,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,0,0,0,0,0,58763.17,23790.47,0,0,Female
"TOWNSEND, KELLY",7/15/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,19897.34,1004.57,0,0,21097.95,21097.95,0,20901.91,Female
"ULIS, ERIC",9/30/2021,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,231.75,6261,307.6,0,0,6336.85,6568.6,0,6568.6,Male
"URREA, MARCOS J",6/30/2022,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,1004.78,8105.29,2003,0,0,9603.59,10608.37,0,10108.29,Male
"GRIJALVA, RAUL M",12/31/2022,7,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"GRIJALVA, RAUL M",Arizona,FALSE,TRUE,1,206505.86,447764.56,0,199497,9421.5,680216.72,660513.91,1,647261.56,Male
"BECKER, NINA",7/20/2022,7,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,1731271.12,-1262849.95,0,-35815.35,0,900.19,-1309815.55,0,-1298665.3,Female
"LESKO, DEBBIE",12/31/2022,8,TRUE,Yes,Incumbent,Republican Party,Republican Party,"LESKO, DEBBIE",Arizona,FALSE,TRUE,1,1002734.67,701155.61,0,417645.32,0,884874.66,1198976.4,1,1118800.93,Female
"MUSCATO, MICHAEL ARCHANGEL",6/30/2021,8,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arizona,FALSE,TRUE,,0,12211.66,0,0,0,35945.64,12211.66,0,12211.66,Male
"GOSAR, PAUL DR.",12/31/2022,9,TRUE,Yes,Incumbent,Republican Party,Republican Party,"GOSAR, PAUL DR.",Arizona,FALSE,TRUE,1,107638.78,885962.59,0,61081,0,854965.64,949145.58,1,947043.59,Male
"DOWLING, SANDRA E DR",12/31/2022,9,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,58744,13215.16,0,0,71959.16,71959.16,0,71959.16,Female
"GILES, DAVID VICTOR",12/31/2022,9,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,11191.64,72608.53,0,558231.28,84345.92,83800.17,0,83800.17,Male
"KUTZ, RANDY",9/30/2022,9,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,43552,35333.21,0,44833.21,78885.21,78885.21,0,78885.21,Male
"LOPEZ, JESUS RENE JR.",12/31/2022,9,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,164109.2,8190,0,8550.32,172698.5,177179.8,0,172299.2,Male
"MORGAN, ADAM",9/30/2022,9,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,0,19649.12,50000,0,0,84349.52,69649.12,0,69649.12,Male
"STOVALL, ALEX",12/31/2022,9,FALSE,No,Challenger,Republican Party,Republican Party,,Arizona,FALSE,TRUE,,1653.72,140159.53,7500,0,40119.32,150849.67,152503.39,0,147659.53,Male
"CRAWFORD, ERIC ALAN RICK",12/31/2022,1,TRUE,Yes,Incumbent,Republican Party,Republican Party,"CRAWFORD, ERIC ALAN RICK",Arkansas,FALSE,TRUE,1,622502.33,483520.34,0,599400,0,647616.25,1087410.34,1,1082920.34,Male
"HODGES, MONTE",11/28/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arkansas,FALSE,TRUE,,3358.65,41983.81,25000,0,25000,64068.32,66983.81,0,66983.81,Male
"SHACKELFORD, JODY",5/4/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Arkansas,FALSE,TRUE,,3105.52,150,24333.04,0,24333.04,21377.52,24483.04,0,24483.04,Male
"SMITH, BRANDT",6/30/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Arkansas,FALSE,TRUE,,0,28700,1000,750,0,30450,30450,0,30450,Male
"HILL, JAMES FRENCH",12/31/2022,2,TRUE,Yes,Incumbent,Republican Party,Republican Party,"HILL, JAMES FRENCH",Arkansas,FALSE,TRUE,1,880665.01,1581068.73,0,1279750,0,2926696.72,3396282.37,1,2860818.73,Male
"CARTWRIGHT, NICHOLAS",3/21/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arkansas,FALSE,TRUE,,255,20244,0,0,0,19989,20244,0,20244,Male
"POSTON, DAVID P",4/21/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Arkansas,FALSE,TRUE,,0,565,500,0,500,1309.86,1209.86,0,1065,Male
"REYNOLDS, CONRAD E",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Arkansas,FALSE,TRUE,,2134.97,114040.98,12335.56,0,21442.67,150763.96,127592.04,0,126376.54,Male
"WOMACK, STEVE",12/31/2022,3,TRUE,Yes,Incumbent,Republican Party,Republican Party,"WOMACK, STEVE",Arkansas,FALSE,TRUE,1,1944314.89,739783.77,0,887778.08,0,1083110.59,1664168.78,1,1627561.85,Male
"HAYS, LAUREN",12/31/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Arkansas,FALSE,TRUE,,0,36766.89,28700,0,22575.16,65741.89,65741.89,0,65466.89,Female
"KUMAR, NEIL",7/5/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Arkansas,FALSE,TRUE,,0,80123.24,30000,210,29539,110333.24,110333.24,0,110333.24,Male
"WESTERMAN, BRUCE",12/31/2022,4,TRUE,Yes,Incumbent,Republican Party,Republican Party,"WESTERMAN, BRUCE",Arkansas,FALSE,TRUE,1,1475551.02,909878.88,0,941300,0,1445546.44,1944291.45,1,1851178.88,Male
"LAMALFA, DOUG",12/31/2022,1,TRUE,Yes,Incumbent,Republican Party,Republican Party,"LAMALFA, DOUG",California,FALSE,TRUE,1,366690.24,488739.55,0,288130,0,685660.72,961209.18,1,776869.55,Male
"LYDON, ROBERT K",9/30/2021,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,California,FALSE,TRUE,,5870.12,10000,0,0,0,4129.88,10000,0,10000,Male
"STEINER, MAX",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,California,FALSE,TRUE,,16218.9,612795.61,0,8000,0,611213.96,627432.86,0,620795.61,Male
"YEE, ROSE PENELOPE LAGOC",3/31/2022,1,FALSE,No,Challenger,No Party Affiliation,Third Party,,California,FALSE,TRUE,,2505.34,2000,16546.8,0,0,16041.46,18546.8,0,18546.8,Female
"ZINK, DAVID LEON MR.",3/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,California,FALSE,TRUE,,0,16454,0,0,0,16454,16454,0,16454,Male
"HUFFMAN, JARED",12/31/2022,2,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"HUFFMAN, JARED",California,FALSE,TRUE,1,928810.57,510052.39,0,418435.22,0,932320.69,938689.41,1,928487.61,Male
"BROWER, DOUGLAS REV",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,0,5427,10000,250,0,15677,15677,0,15677,Male
"COULOMBE, CHRIS MR",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,386.07,40420,5200,0,9432.19,45233.93,45620,0,45620,Male
"HAMPSON, BETH",9/5/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,California,FALSE,TRUE,,5180.4,9985,5260,0,0,13320.68,15245.34,0,15245,Female
"RAMIREZ, ARCHIMEDES M.D.",11/15/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,5188,242,12380,0,0,23635,23682,0,12622,Male
"JONES, KERMIT",12/31/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,California,FALSE,TRUE,,30841.64,2830432.78,26538,339331.06,0,3230693.36,3261535,0,3196301.84,Male
"JONES, SCOTT R",9/29/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,0,524998.41,20000,22900,0,567898.41,567898.41,0,567898.41,Male
"KILEY, KEVIN",12/31/2022,3,TRUE,Yes,Challenger,Republican Party,Republican Party,"KILEY, KEVIN",California,FALSE,TRUE,1,38973.49,2915605.91,0,175400,68518.2,3173870.51,3212844,1,3091005.91,Male
"PALETTA, JASON",12/31/2021,3,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,0,26405.45,0,0,0,26405.45,26405.45,0,26405.45,Male
"THOMPSON, MIKE MR.",12/31/2022,4,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"THOMPSON, MIKE MR.",California,FALSE,TRUE,1,1627833.89,990915.94,0,1276183.45,71025.35,2396636.82,2278299.13,1,2267099.39,Male
"BROCK, MATTHEW",12/31/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,22.85,5427,5800,0,5800,11242.15,11265,0,11227,Male
"ENGDAHL, ANDREW DAVID",12/31/2022,4,FALSE,No,Challenger,Democratic Party,Democratic Party,,California,FALSE,TRUE,,3107.01,6713.7,6027.2,0,0,10264.97,13264.2,0,12740.9,Male
"NEWMAN, SETH",10/1/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,0,315,0,0,0,303,315,0,315,Male
"SHELDON-LONDON, MONIKA LOUISE MS.",12/31/2022,4,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,162.68,1529.94,4200,0,0,5658.3,5729.94,0,5729.94,Female
"MCCLINTOCK, THOMAS",12/31/2022,5,TRUE,Yes,Incumbent,Republican Party,Republican Party,"MCCLINTOCK, THOMAS",California,FALSE,TRUE,1,137539.98,1177125.97,0,283912.42,13992.08,1707260,1674004.02,1,1461038.39,Male
"BARKLEY, MICHAEL JAMES MR.",12/31/2022,5,FALSE,No,Challenger,Democratic Party,Democratic Party,,California,FALSE,TRUE,,78.23,34621.23,419772.12,0,473713.05,462048.75,461674.19,0,454393.35,Male
"DALY, JOLENE",3/31/2022,5,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,0,3750,1090.31,0,0,4840.31,4840.31,0,4840.31,Female
"MAGSIG, NATHAN",12/31/2022,5,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,11778.96,426082.73,2900,13000,0,430918.58,442697.54,0,441982.73,Male
"MAIN, DAVID NATHAN",12/31/2022,5,FALSE,No,Challenger,Republican Party,Republican Party,,California,FALSE,TRUE,,3120,200,11362,0,0,8442,11562,0,11562,Male
